threshold,f1,precision,recall,predicted_positives
0.001,0.0273972602739726,0.013888888888888888,1.0,216
0.002,0.03208556149732621,0.016304347826086956,1.0,184
0.003,0.039473684210526314,0.020134228187919462,1.0,149
0.004,0.04411764705882353,0.022556390977443608,1.0,133
0.005,0.05172413793103448,0.02654867256637168,1.0,113
0.006,0.0594059405940594,0.030612244897959183,1.0,98
0.007,0.045454545454545456,0.023529411764705882,0.6666666666666666,85
0.008,0.04819277108433735,0.025,0.6666666666666666,80
0.009000000000000001,0.05263157894736842,0.0273972602739726,0.6666666666666666,73
0.010000000000000002,0.0273972602739726,0.014285714285714285,0.3333333333333333,70
0.011,0.029411764705882353,0.015384615384615385,0.3333333333333333,65
0.012,0.029850746268656716,0.015625,0.3333333333333333,64
0.013000000000000001,0.03125,0.01639344262295082,0.3333333333333333,61
0.014000000000000002,0.03389830508474576,0.017857142857142856,0.3333333333333333,56
0.015,0.034482758620689655,0.01818181818181818,0.3333333333333333,55
0.016,0.03571428571428571,0.018867924528301886,0.3333333333333333,53
0.017,0.037037037037037035,0.0196078431372549,0.3333333333333333,51
0.018000000000000002,0.03773584905660377,0.02,0.3333333333333333,50
0.019000000000000003,0.0392156862745098,0.020833333333333332,0.3333333333333333,48
0.02,0.04,0.02127659574468085,0.3333333333333333,47
0.021,0.041666666666666664,0.022222222222222223,0.3333333333333333,45
0.022000000000000002,0.044444444444444446,0.023809523809523808,0.3333333333333333,42
0.023,0.05128205128205128,0.027777777777777776,0.3333333333333333,36
0.024,0.05263157894736842,0.02857142857142857,0.3333333333333333,35
0.025,0.05263157894736842,0.02857142857142857,0.3333333333333333,35
0.026000000000000002,0.05263157894736842,0.02857142857142857,0.3333333333333333,35
0.027000000000000003,0.05263157894736842,0.02857142857142857,0.3333333333333333,35
0.028,0.05405405405405406,0.029411764705882353,0.3333333333333333,34
0.029,0.05714285714285714,0.03125,0.3333333333333333,32
0.030000000000000002,0.06060606060606061,0.03333333333333333,0.3333333333333333,30
0.031,0.0625,0.034482758620689655,0.3333333333333333,29
0.032,0.0625,0.034482758620689655,0.3333333333333333,29
0.033,0.06451612903225806,0.03571428571428571,0.3333333333333333,28
0.034,0.06451612903225806,0.03571428571428571,0.3333333333333333,28
0.035,0.06451612903225806,0.03571428571428571,0.3333333333333333,28
0.036000000000000004,0.06451612903225806,0.03571428571428571,0.3333333333333333,28
0.037000000000000005,0.06896551724137931,0.038461538461538464,0.3333333333333333,26
0.038,0.07407407407407407,0.041666666666666664,0.3333333333333333,24
0.039,0.07692307692307693,0.043478260869565216,0.3333333333333333,23
0.04,0.07692307692307693,0.043478260869565216,0.3333333333333333,23
0.041,0.07692307692307693,0.043478260869565216,0.3333333333333333,23
0.042,0.08,0.045454545454545456,0.3333333333333333,22
0.043000000000000003,0.08,0.045454545454545456,0.3333333333333333,22
0.044000000000000004,0.08,0.045454545454545456,0.3333333333333333,22
0.045,0.08695652173913043,0.05,0.3333333333333333,20
0.046,0.08695652173913043,0.05,0.3333333333333333,20
0.047,0.08695652173913043,0.05,0.3333333333333333,20
0.048,0.09090909090909091,0.05263157894736842,0.3333333333333333,19
0.049,0.09523809523809523,0.05555555555555555,0.3333333333333333,18
0.05,0.09523809523809523,0.05555555555555555,0.3333333333333333,18
0.051000000000000004,0.09523809523809523,0.05555555555555555,0.3333333333333333,18
0.052000000000000005,0.09523809523809523,0.05555555555555555,0.3333333333333333,18
0.053000000000000005,0.1,0.058823529411764705,0.3333333333333333,17
0.054,0.10526315789473684,0.0625,0.3333333333333333,16
0.055,0.10526315789473684,0.0625,0.3333333333333333,16
0.056,0.10526315789473684,0.0625,0.3333333333333333,16
0.057,0.10526315789473684,0.0625,0.3333333333333333,16
