threshold,f1,precision,recall,predicted_positives
0.001,0.01990049751243781,0.010050251256281407,1.0,199
0.0026688963210702342,0.01990049751243781,0.010050251256281407,1.0,199
0.0043377926421404684,0.01990049751243781,0.010050251256281407,1.0,199
0.006006688963210703,0.01990049751243781,0.010050251256281407,1.0,199
0.007675585284280937,0.01990049751243781,0.010050251256281407,1.0,199
0.00934448160535117,0.05970149253731343,0.03076923076923077,1.0,65
0.011013377926421406,0.36363636363636365,0.2222222222222222,1.0,9
0.012682274247491639,0.5,0.3333333333333333,1.0,6
0.014351170568561875,0.6666666666666666,0.5,1.0,4
0.016020066889632107,0.6666666666666666,0.5,1.0,4
0.017688963210702343,0.8,0.6666666666666666,1.0,3
0.019357859531772575,0.8,0.6666666666666666,1.0,3
0.02102675585284281,0.8,0.6666666666666666,1.0,3
0.022695652173913047,0.8,0.6666666666666666,1.0,3
0.02436454849498328,1.0,1.0,1.0,2
0.026033444816053512,1.0,1.0,1.0,2
0.027702341137123748,1.0,1.0,1.0,2
0.029371237458193984,1.0,1.0,1.0,2
0.031040133779264217,1.0,1.0,1.0,2
0.03270903010033445,1.0,1.0,1.0,2
0.034377926421404685,1.0,1.0,1.0,2
0.03604682274247492,1.0,1.0,1.0,2
0.03771571906354515,1.0,1.0,1.0,2
0.039384615384615386,1.0,1.0,1.0,2
0.04105351170568562,1.0,1.0,1.0,2
0.04272240802675586,1.0,1.0,1.0,2
0.044391304347826094,1.0,1.0,1.0,2
0.04606020066889632,1.0,1.0,1.0,2
0.04772909698996656,1.0,1.0,1.0,2
0.049397993311036795,1.0,1.0,1.0,2
0.051066889632107024,1.0,1.0,1.0,2
0.05273578595317726,0.0,0.0,0.0,0
0.054404682274247496,0.0,0.0,0.0,0
0.05607357859531773,0.0,0.0,0.0,0
0.05774247491638797,0.0,0.0,0.0,0
0.059411371237458196,0.0,0.0,0.0,0
0.06108026755852843,0.0,0.0,0.0,0
0.06274916387959867,0.0,0.0,0.0,0
0.0644180602006689,0.0,0.0,0.0,0
